"","ID_ORIG","TELEPUL_L","VALKOR","Mindendelagalt","FIDESZdelegalt","Ellenzekidelegalt","NINCSELLENZEK","maz","taz","sorsz","hany"
"1","BUDAPEST 01-001","BUDAPEST 01",1,4,2,2,0,1,1,1,NA
"2","BUDAPEST 01-002","BUDAPEST 01",2,4,2,2,0,1,1,2,NA
"3","BUDAPEST 01-003","BUDAPEST 01",3,5,2,3,0,1,1,3,NA
"4","BUDAPEST 01-004","BUDAPEST 01",4,4,2,2,0,1,1,4,NA
"5","BUDAPEST 01-005","BUDAPEST 01",5,4,2,2,0,1,1,5,NA
"6","BUDAPEST 01-006","BUDAPEST 01",6,6,2,4,0,1,1,6,NA
"7","BUDAPEST 01-007","BUDAPEST 01",7,6,2,4,0,1,1,7,NA
"8","BUDAPEST 01-008","BUDAPEST 01",8,5,2,3,0,1,1,8,NA
"9","BUDAPEST 01-009","BUDAPEST 01",9,5,2,3,0,1,1,9,NA
"10","BUDAPEST 01-010","BUDAPEST 01",10,5,2,3,0,1,1,10,NA
"11","BUDAPEST 01-011","BUDAPEST 01",11,4,1,3,0,1,1,11,NA
"12","BUDAPEST 01-012","BUDAPEST 01",12,5,2,3,0,1,1,12,NA
"13","BUDAPEST 01-013","BUDAPEST 01",13,5,2,3,0,1,1,13,NA
"14","BUDAPEST 01-014","BUDAPEST 01",14,4,2,2,0,1,1,14,NA
"15","BUDAPEST 01-015","BUDAPEST 01",15,4,2,2,0,1,1,15,NA
"16","BUDAPEST 01-016","BUDAPEST 01",16,4,2,2,0,1,1,16,NA
"17","BUDAPEST 01-017","BUDAPEST 01",17,5,2,3,0,1,1,17,NA
"18","BUDAPEST 01-018","BUDAPEST 01",18,5,2,3,0,1,1,18,NA
"19","BUDAPEST 01-019","BUDAPEST 01",19,5,2,3,0,1,1,19,NA
"20","BUDAPEST 01-020","BUDAPEST 01",20,3,2,1,0,1,1,20,NA
"21","BUDAPEST 02-001","BUDAPEST 02",1,2,1,1,0,1,2,1,NA
"22","BUDAPEST 02-002","BUDAPEST 02",2,4,2,2,0,1,2,2,NA
"23","BUDAPEST 02-003","BUDAPEST 02",3,3,2,1,0,1,2,3,NA
"24","BUDAPEST 02-004","BUDAPEST 02",4,4,2,2,0,1,2,4,1
"25","BUDAPEST 02-005","BUDAPEST 02",5,5,2,3,0,1,2,5,NA
"26","BUDAPEST 02-006","BUDAPEST 02",6,4,2,2,0,1,2,6,NA
"27","BUDAPEST 02-007","BUDAPEST 02",7,4,2,2,0,1,2,7,NA
"28","BUDAPEST 02-008","BUDAPEST 02",8,5,2,3,0,1,2,8,NA
"29","BUDAPEST 02-009","BUDAPEST 02",9,4,2,2,0,1,2,9,NA
"30","BUDAPEST 02-010","BUDAPEST 02",10,5,2,3,0,1,2,10,NA
"31","BUDAPEST 02-011","BUDAPEST 02",11,4,2,2,0,1,2,11,NA
"32","BUDAPEST 02-012","BUDAPEST 02",12,5,2,3,0,1,2,12,NA
"33","BUDAPEST 02-013","BUDAPEST 02",13,3,2,1,0,1,2,13,NA
"34","BUDAPEST 02-014","BUDAPEST 02",14,4,1,3,0,1,2,14,NA
"35","BUDAPEST 02-015","BUDAPEST 02",15,3,2,1,0,1,2,15,NA
"36","BUDAPEST 02-016","BUDAPEST 02",16,3,2,1,0,1,2,16,NA
"37","BUDAPEST 02-017","BUDAPEST 02",17,3,2,1,0,1,2,17,NA
"38","BUDAPEST 02-018","BUDAPEST 02",18,4,2,2,0,1,2,18,NA
"39","BUDAPEST 02-019","BUDAPEST 02",19,5,2,3,0,1,2,19,NA
"40","BUDAPEST 02-020","BUDAPEST 02",20,3,2,1,0,1,2,20,NA
"41","BUDAPEST 02-021","BUDAPEST 02",21,3,2,1,0,1,2,21,NA
"42","BUDAPEST 02-022","BUDAPEST 02",22,3,1,2,0,1,2,22,NA
"43","BUDAPEST 02-023","BUDAPEST 02",23,3,1,2,0,1,2,23,NA
"44","BUDAPEST 02-024","BUDAPEST 02",24,4,2,2,0,1,2,24,NA
"45","BUDAPEST 02-025","BUDAPEST 02",25,4,2,2,0,1,2,25,NA
"46","BUDAPEST 02-026","BUDAPEST 02",26,4,2,2,0,1,2,26,NA
"47","BUDAPEST 02-027","BUDAPEST 02",27,4,2,2,0,1,2,27,NA
"48","BUDAPEST 02-028","BUDAPEST 02",28,4,2,2,0,1,2,28,NA
"49","BUDAPEST 02-029","BUDAPEST 02",29,3,2,1,0,1,2,29,NA
"50","BUDAPEST 02-030","BUDAPEST 02",30,5,2,3,0,1,2,30,NA
"51","BUDAPEST 02-031","BUDAPEST 02",31,3,2,1,0,1,2,31,NA
"52","BUDAPEST 02-032","BUDAPEST 02",32,2,2,0,1,1,2,32,NA
"53","BUDAPEST 02-033","BUDAPEST 02",33,3,2,1,0,1,2,33,NA
"54","BUDAPEST 02-034","BUDAPEST 02",34,1,0,1,0,1,2,34,NA
"55","BUDAPEST 02-035","BUDAPEST 02",35,4,2,2,0,1,2,35,NA
"56","BUDAPEST 02-036","BUDAPEST 02",36,2,1,1,0,1,2,36,NA
"57","BUDAPEST 02-037","BUDAPEST 02",37,4,2,2,0,1,2,37,NA
"58","BUDAPEST 02-038","BUDAPEST 02",38,5,2,3,0,1,2,38,NA
"59","BUDAPEST 02-039","BUDAPEST 02",39,4,2,2,0,1,2,39,NA
"60","BUDAPEST 02-040","BUDAPEST 02",40,5,2,3,0,1,2,40,NA
"61","BUDAPEST 02-041","BUDAPEST 02",41,4,2,2,0,1,2,41,NA
"62","BUDAPEST 02-042","BUDAPEST 02",42,4,2,2,0,1,2,42,NA
"63","BUDAPEST 02-043","BUDAPEST 02",43,4,2,2,0,1,2,43,NA
"64","BUDAPEST 02-044","BUDAPEST 02",44,4,2,2,0,1,2,44,NA
"65","BUDAPEST 02-045","BUDAPEST 02",45,4,2,2,0,1,2,45,NA
"66","BUDAPEST 02-046","BUDAPEST 02",46,3,2,1,0,1,2,46,NA
"67","BUDAPEST 02-047","BUDAPEST 02",47,3,2,1,0,1,2,47,NA
"68","BUDAPEST 02-048","BUDAPEST 02",48,3,1,2,0,1,2,48,NA
"69","BUDAPEST 02-049","BUDAPEST 02",49,3,2,1,0,1,2,49,NA
"70","BUDAPEST 02-050","BUDAPEST 02",50,4,2,2,0,1,2,50,NA
"71","BUDAPEST 02-051","BUDAPEST 02",51,3,1,2,0,1,2,51,NA
"72","BUDAPEST 02-052","BUDAPEST 02",52,4,2,2,0,1,2,52,NA
"73","BUDAPEST 02-053","BUDAPEST 02",53,4,2,2,0,1,2,53,NA
"74","BUDAPEST 02-054","BUDAPEST 02",54,3,2,1,0,1,2,54,NA
"75","BUDAPEST 02-055","BUDAPEST 02",55,2,1,1,0,1,2,55,NA
"76","BUDAPEST 02-056","BUDAPEST 02",56,3,2,1,0,1,2,56,NA
"77","BUDAPEST 02-057","BUDAPEST 02",57,3,2,1,0,1,2,57,NA
"78","BUDAPEST 02-058","BUDAPEST 02",58,4,2,2,0,1,2,58,NA
"79","BUDAPEST 02-059","BUDAPEST 02",59,3,2,1,0,1,2,59,NA
"80","BUDAPEST 02-060","BUDAPEST 02",60,3,2,1,0,1,2,60,NA
"81","BUDAPEST 02-061","BUDAPEST 02",61,3,2,1,0,1,2,61,NA
"82","BUDAPEST 02-062","BUDAPEST 02",62,3,2,1,0,1,2,62,NA
"83","BUDAPEST 02-063","BUDAPEST 02",63,2,1,1,0,1,2,63,NA
"84","BUDAPEST 02-064","BUDAPEST 02",64,3,2,1,0,1,2,64,NA
"85","BUDAPEST 02-065","BUDAPEST 02",65,3,2,1,0,1,2,65,NA
"86","BUDAPEST 02-066","BUDAPEST 02",66,4,2,2,0,1,2,66,NA
"87","BUDAPEST 02-067","BUDAPEST 02",67,3,2,1,0,1,2,67,NA
"88","BUDAPEST 02-068","BUDAPEST 02",68,3,2,1,0,1,2,68,NA
"89","BUDAPEST 02-069","BUDAPEST 02",69,4,2,2,0,1,2,69,NA
"90","BUDAPEST 02-070","BUDAPEST 02",70,2,1,1,0,1,2,70,NA
"91","BUDAPEST 02-071","BUDAPEST 02",71,3,2,1,0,1,2,71,NA
"92","BUDAPEST 02-072","BUDAPEST 02",72,3,2,1,0,1,2,72,NA
"93","BUDAPEST 02-073","BUDAPEST 02",73,3,2,1,0,1,2,73,NA
"94","BUDAPEST 02-074","BUDAPEST 02",74,3,2,1,0,1,2,74,NA
"95","BUDAPEST 03-001","BUDAPEST 03",1,4,2,2,0,1,3,1,NA
"96","BUDAPEST 03-002","BUDAPEST 03",2,4,2,2,0,1,3,2,NA
"97","BUDAPEST 03-003","BUDAPEST 03",3,3,2,1,0,1,3,3,NA
"98","BUDAPEST 03-004","BUDAPEST 03",4,4,2,2,0,1,3,4,NA
"99","BUDAPEST 03-005","BUDAPEST 03",5,3,2,1,0,1,3,5,NA
"100","BUDAPEST 03-006","BUDAPEST 03",6,3,2,1,0,1,3,6,NA
"101","BUDAPEST 03-007","BUDAPEST 03",7,4,2,2,0,1,3,7,NA
"102","BUDAPEST 03-008","BUDAPEST 03",8,4,2,2,0,1,3,8,NA
"103","BUDAPEST 03-009","BUDAPEST 03",9,4,2,2,0,1,3,9,NA
"104","BUDAPEST 03-010","BUDAPEST 03",10,3,2,1,0,1,3,10,1
"105","BUDAPEST 03-011","BUDAPEST 03",11,3,2,1,0,1,3,11,NA
"106","BUDAPEST 03-012","BUDAPEST 03",12,3,2,1,0,1,3,12,NA
"107","BUDAPEST 03-013","BUDAPEST 03",13,4,2,2,0,1,3,13,NA
"108","BUDAPEST 03-014","BUDAPEST 03",14,3,2,1,0,1,3,14,NA
"109","BUDAPEST 03-015","BUDAPEST 03",15,3,2,1,0,1,3,15,NA
"110","BUDAPEST 03-016","BUDAPEST 03",16,5,2,3,0,1,3,16,NA
"111","BUDAPEST 03-017","BUDAPEST 03",17,3,2,1,0,1,3,17,NA
"112","BUDAPEST 03-018","BUDAPEST 03",18,3,2,1,0,1,3,18,NA
"113","BUDAPEST 03-019","BUDAPEST 03",19,3,2,1,0,1,3,19,NA
"114","BUDAPEST 03-020","BUDAPEST 03",20,4,2,2,0,1,3,20,NA
"115","BUDAPEST 03-021","BUDAPEST 03",21,3,2,1,0,1,3,21,NA
"116","BUDAPEST 03-022","BUDAPEST 03",22,3,2,1,0,1,3,22,NA
"117","BUDAPEST 03-023","BUDAPEST 03",23,3,2,1,0,1,3,23,NA
"118","BUDAPEST 03-024","BUDAPEST 03",24,3,2,1,0,1,3,24,NA
"119","BUDAPEST 03-025","BUDAPEST 03",25,4,2,2,0,1,3,25,NA
"120","BUDAPEST 03-026","BUDAPEST 03",26,3,2,1,0,1,3,26,NA
"121","BUDAPEST 03-027","BUDAPEST 03",27,3,2,1,0,1,3,27,NA
"122","BUDAPEST 03-028","BUDAPEST 03",28,2,2,0,1,1,3,28,NA
"123","BUDAPEST 03-029","BUDAPEST 03",29,3,2,1,0,1,3,29,NA
"124","BUDAPEST 03-030","BUDAPEST 03",30,3,2,1,0,1,3,30,NA
"125","BUDAPEST 03-031","BUDAPEST 03",31,5,1,4,0,1,3,31,NA
"126","BUDAPEST 03-032","BUDAPEST 03",32,3,1,2,0,1,3,32,NA
"127","BUDAPEST 03-033","BUDAPEST 03",33,5,1,4,0,1,3,33,NA
"128","BUDAPEST 03-034","BUDAPEST 03",34,4,1,3,0,1,3,34,NA
"129","BUDAPEST 03-035","BUDAPEST 03",35,4,1,3,0,1,3,35,NA
"130","BUDAPEST 03-036","BUDAPEST 03",36,5,2,3,0,1,3,36,NA
"131","BUDAPEST 03-037","BUDAPEST 03",37,5,2,3,0,1,3,37,NA
"132","BUDAPEST 03-038","BUDAPEST 03",38,4,2,2,0,1,3,38,NA
"133","BUDAPEST 03-039","BUDAPEST 03",39,4,2,2,0,1,3,39,NA
"134","BUDAPEST 03-040","BUDAPEST 03",40,4,2,2,0,1,3,40,NA
