"","MEGYE","OEVK","SZEKHELY","AE","BE","CE","EE","FE","IE","JE","JE_pct","KE","ME","ME_pct","NE","FIDESZ_egy","MSZP_egy","JOBBIK_egy","LMP_egy","MAS_egy","FIDESZ_egy_pct","MSZP_egy_pct","JOBBIK_egy_pct","LMP_egy_pct","MAS_egy_pct","FIDESZ_lst","MSZP_lst","JOBBIK_lst","LMP_lst","MAS_lst","FIDESZ_lst_pct","MSZP_lst_pct","JOBBIK_lst_pct","LMP_lst_pct","MAS_lst_pct","FIDESZ_egy_jlt","MSZP_egy_jlt","JOBBIK_egy_jlt","LMP_egy_jlt","winner","dev_lst_egy"
"1","BARANYA",1,"Pécs",78831,1509,428,80768,49518,1710,51228,0.6343,51172,469,0.0092,50703,18855,16706,8379,4489,2274,0.3719,0.3295,0.1653,0.0885,0.0448494171942489,18466,16397,8635,4635,2301,0.366141888408613,0.325117975968593,0.171213863663402,0.0919022881389539,0.0456239838204386,"Csizi Péter","Dr. Tóth Bertalan","Németh Zsolt","Dr. Kóbor József","FIDESZ_egy",0.00575811159138678
"2","BARANYA",2,"Pécs",78879,1134,279,80292,47408,1238,48646,0.6059,48585,570,0.0117,48015,17413,15334,9931,3650,1687,0.3627,0.3194,0.2068,0.076,0.0351348536915547,16842,15091,9897,3595,2016,0.35500938007209,0.318100377310765,0.208617019034169,0.0757783351952952,0.0424948883876815,"Dr. Hoppál Péter Tamás","Dr. Szakács László","Gyimesi Gábor Jenõ","Dr. Keresztes László Lóránt","FIDESZ_egy",0.00769061992791048
"3","BARANYA",3,"Mohács",74934,830,190,75954,42834,919,43753,0.576,43685,662,0.0152,43023,21625,8983,8137,1890,2388,0.5026,0.2088,0.1891,0.0439,0.0555051948957534,20074,8842,8301,1729,1562,0.495556433297127,0.21827787103782,0.204922484447517,0.0426829268292683,0.038560284388269,"Dr. Hargitai János György","Loschán Ferenc","Szõcs Norbert","Hartweg Ildikó Anna","FIDESZ_egy",0.00704356670287354
"4","BARANYA",4,"Szigetvár",79288,852,124,80264,44347,848,45195,0.5631,45151,750,0.0166,44401,19563,12131,9081,1439,2187,0.4406,0.2732,0.2045,0.0324,0.0492556473953289,19388,10949,9519,1602,1849,0.447687440829427,0.252822869282102,0.21980280324197,0.0369917103470571,0.0426951762994435,"Tiffán Zsolt","Nagy Attila","Vida Dezsõ Zoltán","Angyal Károly Tibor","FIDESZ_egy",-0.00708744082942714
"5","BORSOD–ABAÚJ–ZEMPLÉN",1,"Miskolc",77544,1290,239,79073,48486,1339,49825,0.6301,49740,449,0.009,49291,16602,14072,15050,1624,1943,0.3368,0.2855,0.3053,0.0329,0.0394189608650666,16928,14068,14447,1870,2020,0.343137453631443,0.285164088946547,0.292846573287657,0.03790566152474,0.0409462226096122,"Csöbör Katalin","Nagy-Korsa Judit Anna","Badány Lajos","Emõdi Zoltán","FIDESZ_egy",-0.00633745363144345
"6","BORSOD–ABAÚJ–ZEMPLÉN",2,"Miskolc",75466,1219,255,76940,46356,1282,47638,0.6192,47596,456,0.0096,47140,14560,14798,14425,1555,1802,0.3089,0.3139,0.306,0.033,0.0382265591854052,15363,14316,13692,1906,1897,0.325666680798745,0.303472251664052,0.290244626277187,0.0404036121592403,0.0402128291007759,"Sebestyén László","Dr. Varga László","Pakusza Zoltán","Mile Lajos","MSZP_egy",-0.016766680798745
"7","BORSOD–ABAÚJ–ZEMPLÉN",3,"Ózd",76265,1152,98,77515,40453,1077,41530,0.5358,41511,531,0.0128,40980,15473,10146,12148,612,2601,0.3776,0.2476,0.2964,0.0149,0.0634699853587116,15789,10428,12378,772,1642,0.38501304591675,0.254285644614597,0.301836182301446,0.018825135945768,0.0400399912214392,"Riz Gábor","Nyakó István","Egyed Zsolt","Szilágyi Imre","FIDESZ_egy",-0.00741304591675002
"8","BORSOD–ABAÚJ–ZEMPLÉN",4,"Kazincbarcika",79128,1095,106,80329,44663,1084,45747,0.5695,45725,773,0.0169,44952,16696,12563,12500,859,2334,0.3714,0.2795,0.2781,0.0191,0.051922050186866,16709,11880,13373,1054,1948,0.371608397829375,0.264211369095276,0.297415710346055,0.023440975002224,0.0433235477270705,"Demeter Zoltán","Klimon István","Miklós Árpád","Gulyás Pál","FIDESZ_egy",-0.000208397829374596
"9","BORSOD–ABAÚJ–ZEMPLÉN",5,"Sátoraljaújhely",78224,1624,108,79956,42952,1529,44481,0.5563,44473,685,0.0154,43788,19932,9566,11561,1045,1684,0.4552,0.2185,0.264,0.0239,0.0384580250296885,19369,9589,11711,1044,1681,0.446352030234595,0.220975250034567,0.269876019726229,0.0240586256164447,0.0387380743881643,"Dr. Hörcsik Richárd","Vécsi István","Pasztorniczky István","Dr. Tóth István","FIDESZ_egy",0.00884796976540536
"10","BORSOD–ABAÚJ–ZEMPLÉN",6,"Tiszaújváros",79749,1220,151,81120,46821,1195,48016,0.5919,47984,622,0.013,47362,19149,11133,14009,1211,1860,0.4043,0.2351,0.2958,0.0256,0.0392719902031164,19030,10701,14418,1451,1657,0.402691664726919,0.226442643417906,0.305097657489896,0.0307044459021944,0.0350635884630848,"Dr. Mengyi Roland","Pap Zsolt","Balla Gergõ","Dr. Tarnai Gábor Elemér","FIDESZ_egy",0.00160833527308124
