"","MEGYE","OEVK","SZEKHELY","AE","BE","CE","EE","FE","IE","JE","JE_pct","KE","ME","ME_pct","NE","ERVTL_LST","ERV_LST","FIDESZ_egy","JOBBIK_egy","MSZP_egy","DK_egy","LMP_egy","MOMENTUM_egy","EGYUTT_egy","MKKP_egy","FUGGETLEN_egy","MAS_egy","FIDESZ_egy_pct","JOBBIK_egy_pct","MSZP_egy_pct","DK_egy_pct","LMP_egy_pct","MOMENTUM_egy_pct","EGYUTT_egy_pct","MKKP_egy_pct","FUGGETLEN_egy_pct","MAS_egy_pct","FIDESZ_lst","JOBBIK_lst","MSZP_lst","DK_lst","LMP_lst","MOMENTUM_lst","EGYUTT_lst","MKKP_lst","FUGGETLEN_lst","MAS_lst","FIDESZ_lst_pct","JOBBIK_lst_pct","MSZP_lst_pct","DK_lst_pct","LMP_lst_pct","MOMENTUM_lst_pct","EGYUTT_lst_pct","MKKP_lst_pct","FUGGETLEN_lst_pct","MAS_lst_pct","FIDESZ_egy_jlt","JOBBIK_egy_jlt","MSZP_egy_jlt","DK_egy_jlt","LMP_egy_jlt","MOMENTUM_egy_jlt","EGYUTT_egy_jlt","MKKP_egy_jlt","FUGGETLEN_egy_jlt","MAS_egy_jlt","winner","FE_pct","LEFTLIB_OPP_lst_pct","LEFTLIB_OPP_egy_pct","LEFTLIB_OPP_lst","LEFTLIB_OPP_egy","FIDESZ_dev_lst_egy","JOBBIK_dev_lst_egy","LEFTLIB_OPP_dev_lst_egy","FIDESZ_dev_lst_egy_vts","JOBBIK_dev_lst_egy_vts","LEFTLIB_OPP_dev_lst_egy_vts"
"1","BARANYA",1,"Pécs",74924,2694,904,78522,53208,3296,56504,71.96,56434,431,0.76,56003,563,55206,20702,7887,NA,NA,3059,1011,NA,976,21988,380,0.369658768280271,0.140831741156724,NA,NA,0.0546220738174741,0.0180526043247683,NA,0.0174276378051176,0.392621823830866,0.00678535078477939,20780,11073,8139,4038,6267,2378,481,1439,NA,611,0.376408361409992,0.20057602434518,0.147429627214433,0.0731442234539724,0.11352026953592,0.0430750280766583,0.00871282107017353,0.0260660073180451,NA,0.0110676375756258,"Csizi Péter","Fogarasi Gábor",NA,NA,"Dr. Keresztes László Lóránt","Nemes Balázs",NA,"Nagy Richárd","Dr. Mellár Tamás",NA,"FUGGETLEN_egy",0.710159628423469,0.385881969351157,0.0726746781422424,21303,4070,-0.00674959312972095,-0.0597442831884561,-0.313207291208915,-78,-3186,-17233
"2","BARANYA",2,"Pécs",75366,2331,674,78371,51371,2751,54122,69.06,54020,495,0.92,53525,375,52498,21471,11858,NA,11160,4899,1039,1277,1015,NA,806,0.401139654367118,0.221541335824381,NA,0.208500700607193,0.0915273236805231,0.0194114899579636,0.0238580102755722,0.0189631013545072,NA,0.0150583839327417,20827,11347,6749,4381,5213,1653,475,1142,NA,711,0.396719875042859,0.216141567297802,0.128557278372509,0.0834507981256429,0.0992990209150825,0.0314869137871919,0.00904796373195169,0.0217532096460818,NA,0.0135433730808793,"Dr. Hoppál Péter","Gyimesi Gábor",NA,"Nagy Ferenc","Hohn Krisztina","Körömi Attila","Berkecz Balázs","Martos Csongor",NA,NA,"FIDESZ_egy",0.681620359313218,0.351841974932378,0.343297524521252,18471,18375,0.00441977932425941,0.00539976852657931,-0.00854445041112667,644,511,-96
"3","BARANYA",3,"Mohács",71193,1678,358,73229,46787,1843,48630,66.41,48528,625,1.29,47903,525,42958,27603,11359,NA,4262,3345,NA,NA,NA,NA,1334,0.576226958645596,0.237125023484959,NA,0.0889714631651462,0.0698286119867232,NA,NA,NA,NA,0.0278479427175751,23824,7838,3997,2240,2685,859,139,613,NA,763,0.554588202430281,0.182457283858653,0.0930443689184785,0.0521439545602682,0.0625029098188929,0.0199962754318171,0.00323571860887378,0.0142697518506448,NA,0.0177615345220913,"Dr. Hargitai János","Szõcs Norbert",NA,"Lukács János","Bosnyák András",NA,NA,NA,NA,NA,"FIDESZ_egy",0.65718539744076,0.23092322733833,0.158800075151869,9920,7607,0.0216387562153155,0.0546677396263066,-0.0721231521864611,3779,3521,-2313
"4","BARANYA",4,"Szigetvár",76052,1711,340,78103,49001,1838,50839,65.09,50763,734,1.45,50029,725,48167,24479,7914,13605,NA,1667,383,144,535,NA,1302,0.489296208199244,0.158188250814528,0.271942273481381,NA,0.0333206740090747,0.00765555977533031,0.0028783305682704,0.0106937975973935,NA,0.0260249055547782,24860,9787,6086,2437,2703,733,212,618,NA,731,0.516120995702452,0.203188905267092,0.126352066767704,0.0505948055722798,0.056117258704092,0.0152178877654826,0.00440135362385035,0.0128303610355638,NA,0.015176365561484,"Nagy Csaba","Andrics Aliz","Dr. Vass Péter",NA,"Angyal Károly Tibor","Gergely Attila","Rajnai Attila","Iván Petra",NA,NA,"FIDESZ_egy",0.644309156892652,0.252683372433409,0.315796837834056,12171,15799,-0.0268247875032074,-0.045000654452564,0.0631134654006475,-381,-1873,3628
"5","BORSOD–ABAÚJ–ZEMPLÉN",1,"Miskolc",73339,2254,526,76119,51137,2514,53651,70.48,53584,389,0.73,53195,453,53075,20724,20597,NA,6151,1671,576,NA,NA,2167,1309,0.389585487357834,0.387198044929035,NA,0.115631168342889,0.0314127267600338,0.0108280853463671,NA,NA,0.04073691136385,0.0246075758999906,21527,14013,7816,3351,3192,1287,222,765,NA,902,0.40559585492228,0.264022609514837,0.147263306641545,0.0631370701837023,0.0601413094677343,0.0242487046632124,0.00418276024493641,0.0144135657089025,NA,0.0169948186528497,"Csöbör Katalin","Jakab Péter",NA,"Dr. Debreczeni József","Csoma László","Szopkó Tibor",NA,NA,"Fodor Zoltán",NA,"FIDESZ_egy",0.697268847407246,0.29897315120113,0.15787198044929,15868,8398,-0.0160103675644454,0.123175435414197,-0.14110117075184,-803,6584,-7470
"6","BORSOD–ABAÚJ–ZEMPLÉN",2,"Miskolc",71877,2214,570,74661,49107,2499,51606,69.12,51549,482,0.94,51067,388,50998,19434,14427,15274,NA,0,667,NA,NA,NA,1265,0.380558873636595,0.282511210762332,0.29909726437817,NA,0,0.0130612724460023,NA,NA,NA,0.0247713787769009,19958,12992,9084,2733,2960,1410,192,773,NA,896,0.391348680340405,0.254755088434841,0.178124632338523,0.0535903368759559,0.0580414918232088,0.0276481430644339,0.00376485352366759,0.0151574571551826,NA,0.0175693164437821,"Hubay György","Pakusza Zoltán","Dr. Varga László",NA,"Doszpoly Botond László","Dudás Norbert",NA,NA,NA,NA,"FIDESZ_egy",0.683208815059059,0.321169457625789,0.312158536824172,16379,15941,-0.0107898067038104,0.0277561223274913,-0.00901092080161714,-524,1435,-438
"7","BORSOD–ABAÚJ–ZEMPLÉN",3,"Ózd",72030,2139,254,74423,41604,2073,43677,58.69,43653,778,1.78,42875,577,42777,20623,15744,NA,3441,1170,449,147,NA,NA,1301,0.481002915451895,0.367206997084548,NA,0.0802565597667639,0.0272886297376093,0.0104723032069971,0.00342857142857143,NA,NA,0.0303440233236152,20337,12559,4517,2158,1512,491,117,326,NA,760,0.475419033592819,0.293592351029759,0.105594127685438,0.0504476704771256,0.0353460972017673,0.0114781307712088,0.00273511466442247,0.00762091778292073,NA,0.0177665567945391,"Riz Gábor","Farkas Péter Barnabás",NA,"Varga Gergõ","Koleszár István","Kovács József","Báder József",NA,NA,NA,"FIDESZ_egy",0.57759266972095,0.205601140799963,0.121446064139942,8795,5207,0.00558388185907649,0.0736146460547891,-0.0841550766600209,286,3185,-3588
"8","BORSOD–ABAÚJ–ZEMPLÉN",4,"Kazincbarcika",75324,2105,360,77789,47667,2166,49833,64.06,49772,786,1.58,48986,522,48682,21905,14779,8458,NA,1649,359,111,NA,NA,1725,0.44716857877761,0.301698444453517,0.172661576777038,NA,0.0336626791328135,0.0073286245049606,0.00226595353774548,NA,NA,0.0352141428163149,22004,13323,6725,2289,2083,750,122,532,NA,854,0.451994577051066,0.273674047902716,0.138141407501746,0.0470194322336798,0.042787888747381,0.0154061049258453,0.00250605973460417,0.0109280637607329,NA,0.0175424181422292,"Demeter Zoltán","Egyed Zsolt","Gúr Nándor",NA,"Üveges Gábor","Gyõri Gyula","Elek Zsófia",NA,NA,NA,"FIDESZ_egy",0.632826190855504,0.245860893143256,0.215918833952558,11969,10577,-0.0048259982734562,0.0280243965508017,-0.0299420591906984,-99,1456,-1392
"9","BORSOD–ABAÚJ–ZEMPLÉN",5,"Sátoraljaújhely",74195,3074,285,77554,46065,2930,48995,63.18,48957,933,1.91,48024,759,47163,23544,14064,NA,2306,6219,229,128,NA,NA,1534,0.490254872563718,0.292853573213393,NA,0.0480176578377478,0.129497751124438,0.00476844910877894,0.00266533399966683,NA,NA,0.0319423621522572,23802,11741,4784,1790,2756,578,112,411,NA,1189,0.504675275109726,0.248945147679325,0.101435447278587,0.0379534804825817,0.0584356381061425,0.0122553696753811,0.00237474291287662,0.00871445836778831,NA,0.025210440387592,"Dr. Hörcsik Richárd","Mikola Gergely",NA,"Zaveczki Tibor","Köteles László","Pencz András Soma","Szabó Mihály",NA,NA,NA,"FIDESZ_egy",0.620863939618573,0.212454678455569,0.184949192070631,10020,8882,-0.0144204025460077,0.0439084255340684,-0.0275054863849376,-258,2323,-1138
"10","BORSOD–ABAÚJ–ZEMPLÉN",6,"Tiszaújváros",76467,2244,413,79124,50547,2318,52865,66.81,52817,761,1.44,52056,702,51789,25662,16469,7757,NA,1182,NA,NA,NA,NA,986,0.492969110189027,0.316370831412325,0.149012601813432,NA,0.022706316274781,NA,NA,NA,NA,0.0189411403104349,24590,13963,6641,2030,2106,887,177,580,NA,815,0.47481125335496,0.269613238332464,0.128231863909324,0.039197512985383,0.0406650060823727,0.0171271891714457,0.00341771418641024,0.0111992894243951,NA,0.0157369325532449,"Koncz Ferenc","Biró László","Pap Zsolt",NA,"Dr. Tarnai Gábor",NA,NA,NA,NA,NA,"FIDESZ_egy",0.661030248342422,0.228639286334936,0.171718918088213,11841,8939,0.0181578568340677,0.0467575930798608,-0.0569203682467233,1072,2506,-2902
